entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
BIRTHDAY,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.13333333333333333,2,1,12,14,3
EDUCATION,1.0,0.037037037037037035,0.07142857142857142,0.037037037037037035,1,0,26,27,1
INN,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.3125,10,5,17,27,15
LOCATION,0.050359712230215826,0.5,0.0915032679738562,0.04794520547945205,7,132,7,14,139
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
PASSPORT,0.75,0.08823529411764706,0.15789473684210525,0.08571428571428572,3,1,31,34,4
PERSON,0.4497354497354497,0.4644808743169399,0.45698924731182794,0.2961672473867596,85,104,98,183,189
EMAIL,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8157894736842105,62,7,7,69,69
PHONE,0.753968253968254,0.7723577235772358,0.7630522088353413,0.6168831168831169,95,31,28,123,126
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,1.0,0.1875,0.3157894736842105,0.1875,6,0,26,32,6
FAMILY,0.14285714285714285,0.25,0.18181818181818182,0.1,1,6,3,4,7
ORGANIZATION,0.26,0.7428571428571429,0.3851851851851852,0.23853211009174313,26,74,9,35,100
POSITION,0.2857142857142857,0.46153846153846156,0.35294117647058826,0.21428571428571427,6,15,7,13,21
IP_ADDRESS,1.0,0.25,0.4,0.25,1,0,3,4,1
CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SNILS,0.6875,0.3055555555555556,0.42307692307692313,0.2682926829268293,11,5,25,36,16
AGE,0.5666666666666667,0.5483870967741935,0.5573770491803278,0.38636363636363635,17,13,14,31,30
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.6923076923076923,0.13432835820895522,0.225,0.1267605633802817,9,4,58,67,13
ALL,0.46216216216216216,0.43902439024390244,0.45029624753127057,0.2905692438402719,342,398,437,779,740
