entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
BIRTHDAY,0.0,0.0,0.0,0.0,0,0,14,14,0
EDUCATION,0.75,0.1111111111111111,0.19354838709677416,0.10714285714285714,3,1,24,27,4
INN,0.0,0.0,0.0,0.0,0,0,27,27,0
LOCATION,0.04964539007092199,0.5,0.0903225806451613,0.0472972972972973,7,134,7,14,141
MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
WORK,0.0,0.0,0.0,0.0,0,7,0,0,7
PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
PERSON,0.4381443298969072,0.4644808743169399,0.4509283819628647,0.2910958904109589,85,109,98,183,194
EMAIL,0.0,0.0,0.0,0.0,0,0,69,69,0
PHONE,0.0,0.0,0.0,0.0,0,0,123,123,0
DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
ORGANIZATION,0.26,0.7428571428571429,0.3851851851851852,0.23853211009174313,26,74,9,35,100
POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
AGE,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.2857142857142857,12,11,19,31,23
VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
ADDRESS,0.4782608695652174,0.16417910447761194,0.24444444444444446,0.13924050632911392,11,12,56,67,23
ALL,0.2926829268292683,0.18485237483953787,0.22659323367427223,0.12777284826974267,144,348,635,779,492
